YEAR,MONTH,BEGIN_TIME,BEGIN_LAT,BEGIN_LON,STATE,EVENT_TYPE,FLOOD_CAUSE,EVENT_NARRATIVE,temperature_2m_mean,wind_speed_10m_mean,cloud_cover_mean,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,rain_sum,pressure_msl_mean,soil_moisture_0_to_10cm_mean,elevation,is_primary_rain_season,is_secondary_rain_season,Flood_Zone_A,Flood_Zone_AE,Flood_Zone_AH,Flood_Zone_AO,Flood_Zone_AREA NOT INCLUDED,Flood_Zone_OPEN WATER,Flood_Zone_VE,Flood_Zone_X,Is_In_Floodplain_False,Is_In_Floodplain_True
2001,3,140,32.53333,-96.66667,TEXAS,Flash Flood,,Roads were closed near Sanger due to high water.,18.33104,21.042433,0.0,39.388832,4.5288677,0.0,0.0,1001.2181,0.4326143,146.0,True,False,False,False,False,False,False,False,False,True,True,False
2001,5,15,33.73333,-102.78333,TEXAS,Flash Flood,,I-27 was flooded and subsequently closed due to a rapid rise of water.,25.134928,22.688942,3.0631618,45.882435,12.775488,0.0,0.0,1007.633,0.110644,1150.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,125,31.46667,-97.71667,TEXAS,Flash Flood,,Water was over Northwest Highway at Hillcrest and Northwest Highway and Denton.,24.716516,13.942765,44.521587,68.5099,18.607435,0.0,0.0,1016.4537,0.3029499,265.0,True,False,False,False,False,False,False,False,False,True,True,False
2001,5,128,33.08333,-97.13333,TEXAS,Flash Flood,,Water was over Highway 75 at Parkview.,25.635132,12.174953,53.005688,65.30045,18.778494,0.0,0.0,1016.60834,0.19246636,190.0,True,False,False,True,False,False,False,False,False,False,False,True
2001,5,1700,33.36667,-97.68333,TEXAS,Flash Flood,,Flooding resulted in high water rescues and major damage to one street in Harker Heights.,26.020544,9.831195,54.140934,63.18279,18.967064,0.0,0.0,1016.29364,0.18634742,280.0,True,False,False,False,False,False,False,False,False,True,True,False
2001,5,45,33.75,-96.55,TEXAS,Flash Flood,,A bridge on County Road 720 was submerged near Little Elm.,24.568607,7.5965366,64.14605,74.98496,20.548773,0.12533848,0.12533848,1017.2799,0.2840362,241.0,True,False,False,False,False,False,False,False,False,True,True,False
2001,5,2330,32.05,-97.2,TEXAS,Flash Flood,,A bridge on County Road 720 was submerged near Little Elm.,23.77193,17.710987,42.39982,70.92965,18.672354,0.12037269,0.12037269,1013.72723,0.30042413,209.0,True,False,False,False,False,False,False,False,False,True,True,False
2001,5,0,32.03333,-97.13333,TEXAS,Flash Flood,,Street flooding was reported north of Farm Market 1709.,24.227789,12.293695,48.476795,71.41462,18.726019,0.0,0.0,1016.7599,0.32203463,190.0,True,False,False,False,False,False,False,False,False,True,True,False
2001,6,2000,29.36667,-95.08333,TEXAS,Flash Flood,,Flooding from the remnants of T.S. Allison.  Damage included in previous report.,26.144594,15.147877,18.859093,85.15825,23.81426,1.4516577,1.4516577,1013.29425,0.3535844,11.0,False,False,False,False,False,False,False,False,False,True,True,False
2001,6,430,30.5,-95.33333,TEXAS,Flash Flood,,Flooding from the remnants of T.S. Allison.  Damage included in previous report.,27.949059,13.857175,72.39172,70.6553,22.967648,0.0,0.0,1013.4464,0.2754079,122.0,False,False,False,False,False,False,False,False,False,True,True,False
