YEAR,MONTH,BEGIN_TIME,BEGIN_LAT,BEGIN_LON,STATE,EVENT_TYPE,FLOOD_CAUSE,EVENT_NARRATIVE,temperature_2m_mean,wind_speed_10m_mean,cloud_cover_mean,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,rain_sum,pressure_msl_mean,soil_moisture_0_to_10cm_mean,elevation
2001,3,140,32.53333,-96.66667,TEXAS,Normal,,,20.50888,22.804094,82.587585,81.173965,17.613417,13.58358,13.58358,1009.8148,0.32440105,146.0
2001,4,15,33.73333,-102.78333,TEXAS,Normal,,,15.73277,10.665548,0.0,17.093475,-8.394447,0.0,0.0,1017.39935,0.105070904,1150.0
2001,4,125,31.46667,-97.71667,TEXAS,Normal,,,16.69418,9.56034,0.0,43.713005,3.8770075,0.0,0.0,1021.4454,0.3975735,265.0
2001,4,128,33.08333,-97.13333,TEXAS,Normal,,,16.071484,8.656854,0.0,45.455017,3.9698353,0.0,0.0,1021.59607,0.26129767,190.0
2001,4,1700,33.36667,-97.68333,TEXAS,Normal,,,16.052603,9.228573,0.0,43.394707,3.4894402,0.0,0.0,1021.96,0.24181467,280.0
2001,4,45,33.75,-96.55,TEXAS,Normal,,,14.983301,8.247151,0.0,52.27041,5.1438265,0.0,0.0,1021.9528,0.35940006,241.0
2001,4,2330,32.05,-97.2,TEXAS,Normal,,,18.717346,20.200396,56.859154,45.22319,6.9131002,0.0,0.0,1019.447,0.42999527,209.0
2001,4,0,32.03333,-97.13333,TEXAS,Normal,,,15.999351,9.947392,0.0,48.621384,4.8145933,0.0,0.0,1021.26013,0.43171433,190.0
2001,5,2000,29.36667,-95.08333,TEXAS,Normal,,,25.816257,20.746809,62.79971,80.78139,22.560581,9.041484,9.041484,1008.647,0.35244069,11.0
2001,5,430,30.5,-95.33333,TEXAS,Normal,,,22.41515,12.223826,66.8044,86.470795,20.197775,39.684128,39.684128,1009.2683,0.38602367,122.0
2001,4,2200,34.53333,-101.95,TEXAS,Normal,,,12.03623,16.78228,0.6420021,35.330776,-3.1218855,0.20887606,0.20887606,1016.80634,0.14065358,1098.0
2001,4,2200,34.53333,-101.8,TEXAS,Normal,,,12.160848,17.151016,1.1047764,35.686108,-2.8667023,0.21762775,0.21762775,1016.8613,0.14399181,1068.0
