YEAR,MONTH,BEGIN_DAY,BEGIN_TIME,BEGIN_LAT,BEGIN_LON,STATE,EVENT_TYPE,FLOOD_CAUSE,EVENT_NARRATIVE,temperature_2m_mean,wind_speed_10m_mean,cloud_cover_mean,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,rain_sum,snowfall_sum,pressure_msl_mean,soil_moisture_0_to_10cm_mean,elevation
2010,5,1,18,29.41,-100.9,TEXAS,Hail,,,22.108843,10.253766,28.487219,60.979492,13.821892,0.0,0.0,0.0,1013.8999,0.3262488,318.0
2015,4,11,2040,35.24,-100.16,TEXAS,Hail,,"Law enforcement received golf ball size hail 5 miles east-northeast of Shamrock, Texas.",19.531506,16.718573,35.630985,75.88805,17.391108,0.0,0.0,0.0,1008.7413,0.27353588,711.0
2001,3,14,1410,30.1,-96.08333,TEXAS,Hail,,,22.191172,8.252332,82.12089,85.79839,20.577196,1.1977663,1.1977663,0.0,1017.20294,0.25944915,72.0
2001,10,12,1945,33.21667,-97.15,TEXAS,Thunderstorm Wind,,Large tree limbs were blown off trees.,23.73632,23.663277,64.207565,78.24779,20.58958,0.2679225,0.2679225,0.0,1012.63635,0.20705727,214.0
2016,4,27,45,30.41,-98.74,TEXAS,Thunderstorm Wind,,A thunderstorm produced wind gusts estimated at 60 mph that knocked down some large trees.,22.33678,17.052565,56.04221,29.054462,4.967474,0.0,0.0,0.0,1010.41205,0.14634188,534.0
2021,5,28,2032,29.54,-98.48,TEXAS,Thunderstorm Wind,,A thunderstorm produced wind gusts measured at 52 kts. by the ASOS at San Antonio International Airport.,29.42134,17.851084,23.560333,60.807426,21.246092,0.4754277,0.4754277,0.0,1011.55273,0.2730744,243.0
2004,6,1,1645,33.73333,-98.35,TEXAS,Hail,,,23.029587,7.3963075,0.0,51.89118,12.912551,0.0,0.0,0.0,1010.31287,0.22201207,279.0
2009,4,17,2302,29.595,-95.235,TEXAS,Hail,,Nickel sized hail was observed just south of Beltway 8 between Blackhawk and Beamer.,20.840982,19.3517,29.674683,73.869484,16.292856,0.111712754,0.111712754,0.0,1008.4379,0.37452736,13.0
2010,6,12,2010,36.14,-101.19,TEXAS,Hail,,,18.998,11.231395,74.37282,78.4857,15.614514,0.92476887,0.92476887,0.0,1019.9673,0.20331272,953.0
2010,5,14,1940,33.103,-102.6913,TEXAS,Hail,,A storm chaser reported quarter size hail over rural portions of eastern Yoakum County.,13.7497225,12.922452,45.582268,76.229126,9.665124,19.431904,19.431904,0.0,1003.2123,0.32624802,1077.0
2010,6,20,1640,32.74,-102.64,TEXAS,Thunderstorm Wind,,,31.605812,17.287289,0.0,28.897572,11.599393,0.0,0.0,0.0,1007.5954,0.07571681,1009.0
2007,4,20,2114,35.18,-101.58,TEXAS,Hail,,,19.371515,22.549015,0.0,21.273827,-2.4404023,0.0,0.0,0.0,1014.6513,0.16381127,1075.0
2010,5,25,1610,35.7,-102.6,TEXAS,Hail,,,17.218727,12.452012,0.0,64.37937,11.966592,0.0,0.0,0.0,1011.0452,0.3376519,1128.0
2005,6,6,1625,31.98333,-103.6,TEXAS,Hail,,Penny size hail was reported by the public along Farm to Market Road 652 north of Mentone.,26.254713,22.369303,42.79201,57.381893,17.912226,1.2541388,1.2541388,0.0,1017.98145,0.05704537,950.0
2025,4,19,1820,33.6917,-97.72,TEXAS,Thunderstorm Wind,,Tree damage was reported on a property approximately 1.5 miles north of Montague.,17.73608,9.160907,40.169487,63.66971,10.909311,0.108907595,0.108907595,0.0,1018.9461,0.2593031,298.0
2016,4,25,1758,29.6,-98.47,TEXAS,Hail,,A thunderstorm produced one inch hail near the intersection of Loop 1604 and Hwy 281 in northern San Antonio.,25.359484,21.269995,0.0,27.522362,6.613919,0.0,0.0,0.0,1008.7847,0.27375808,285.0
2005,5,12,1806,35.66667,-101.38333,TEXAS,Hail,,,23.805079,27.073168,14.823715,58.42675,15.571705,1.8398571,1.8398571,0.0,1006.1538,0.16518193,940.0
2014,6,6,2026,35.07,-101.97,TEXAS,Thunderstorm Wind,,"A cluster of discrete thunderstorms moving across the Texas Panhandle transitioned into a broken linear structure during the late evening hours of the 6th. As this broken line of storms moved over the town of Canyon (Randall County), the local fire department reported that several large tree limbs were blown down in the Rockwell Road area (Randall County) from estimated 59 mph thunderstorm downburst. After producing this gust the line of thunderstorms continued moving eastward across the Panhandle.",31.028416,18.595789,36.940243,18.6007,4.191682,0.0,0.0,0.0,1002.499,0.14835772,1118.0
2020,8,29,1801,33.01,-97.55,TEXAS,Thunderstorm Wind,,"Amateur radio reported that trees and power lines were down along FM 730 in the city of Briar, TX.",23.656672,7.885879,83.23341,82.99613,20.744518,14.701969,14.701969,0.0,1013.4683,0.25635195,231.0
2017,8,17,2318,35.92,-100.28,TEXAS,Thunderstorm Wind,,,28.952406,18.378405,29.291899,45.631336,16.219288,0.4591616,0.4591616,0.0,1012.7805,0.1760789,745.0
2015,7,2,1335,27.75,-98.13,TEXAS,Thunderstorm Wind,,Power lines and power poles were blown down along County Road 133 off of Highway 44.,26.880447,12.946919,8.026371,81.804855,23.500467,0.8669849,0.8669849,0.0,1019.1001,0.29867813,74.0
2011,6,21,120,33.2402,-97.3399,TEXAS,Hail,,Nickel sized hail was reported 11 miles west of Denton.,32.460083,6.978441,37.37185,37.12805,15.3338,0.0,0.0,0.0,1010.15607,0.23353899,251.0
2003,4,23,2010,32.53333,-97.21667,TEXAS,Hail,,,17.594004,11.029094,50.136406,44.817398,5.5625076,0.0,0.0,0.0,1022.55927,0.2533942,204.0
2023,6,11,1824,32.94,-96.45,TEXAS,Hail,,"Several public reports showed 1-2 sized hail fell in Rockwall, TX.",26.828163,9.233726,69.65393,73.59099,22.13839,0.0,0.0,0.0,1013.7281,0.33477393,147.0
2014,6,7,2019,33.46,-102.49,TEXAS,Hail,,"A left-moving supercell produced a swath of large hail generally from near Sundown northeast to Levelland.  Trained spotters estimated the hail ranged in size from ping pong balls to as large as tennis balls.  The worst hail damage was noted in Levelland where many vehicles suffered cracked or shattered windows, particularly at the Covenant hospital.  Several homes in Levelland also sustained varying degrees of roof damage including some broken windows.",32.46029,15.776548,47.003185,17.372074,4.194698,0.0,0.0,0.0,1001.4631,0.13917345,1083.0
2015,4,24,1741,32.7214,-97.1494,TEXAS,Thunderstorm Wind,,Part of the metal roof of a business near West Park Row Road and South Bowen Rd in Arlington was blown off by thunderstorm winds.,17.977348,12.457627,61.62497,72.102715,12.812051,1.1445993,1.1445993,0.0,1015.66187,0.314592,175.0
2023,8,10,1905,31.74,-99.95,TEXAS,Thunderstorm Wind,,There were power poles blown down in Ballinger due to strong winds.,29.857882,11.648474,16.011957,52.998283,19.139278,0.0,0.0,0.0,1011.9397,0.19776809,502.0
2010,11,1,1900,31.53,-94.11,TEXAS,Hail,,,15.01668,8.72774,0.0,49.009727,4.9147344,0.0,0.0,0.0,1016.86487,0.34789065,114.0
2024,5,30,1835,32.74,-102.56,TEXAS,Hail,,This report was received from mPING.,26.63176,14.719,16.238827,33.32803,8.773341,0.0,0.0,0.0,1007.4027,0.067467764,988.0
2002,3,30,1815,31.71667,-94.93333,TEXAS,Tornado,,"Damage was confined to a few felled pine trees, broken tree tops and tree limbs.  This tornado remained in Nacogdoches County, TX.",21.951101,16.898617,82.39519,76.30881,18.559605,1.8812703,1.8812703,0.0,1020.0233,0.3803228,102.0
2011,4,19,1830,32.25,-97.28,TEXAS,Hail,,"Golfball sized hail fell in Parker, which is approximately 5 miles east of Rio Vista.",18.469755,17.235537,0.0,53.922096,11.536679,0.0,0.0,0.0,1006.12805,0.33385745,257.0
2009,7,28,930,33.03,-94.07,TEXAS,Heavy Rain,,"A total of 8.25 inches of rainfall was measured 6 miles northwest of Rodessa in Cass County, Texas, midnight through 930 am cst.",27.85897,7.29171,47.208153,51.292835,17.049402,0.0,,,1013.79224,0.33032334,78.0
